Timestamp,Gender,Age,Major,Academic Year,CGPA,"On average, how many hours do you sleep daily?",Does the time change whenever there are projects or quizzes?,How many projects do you have per semester?,How many hours you sleep when you have projects/quizzes to do?,How many hours is your phone screen time?,Thank you!!!!
3/1/2024 22:36:07,Male,19,Computer Science,Year 2,3.92,6.5,Yes,3,5,6,â¤ï¸
3/2/2024 5:47:42,Male,19,Computer Science,Year 2,3.91,8,No,2,8,5,:)
3/2/2024 18:22:32,Male,20,Computer Science,Year 2,2.58,8,Yes,4,6,3,
3/2/2024 18:25:47,Male,18,Computer Science,Year 2,2.55,8,Yes,3,3.5,4,Your welcome
3/2/2024 18:27:11,Male,19,Computer Science,Year 2,2.13,7.5,Yes,4,6,4,your welcome bro
3/2/2024 18:28:07,Male,18,Computer Science,Year 2,2.39,5,Yes,3,4,6,
3/2/2024 18:29:42,Male,19,Computer Science,Year 2,2.3,8,Yes,3,5,5,
3/2/2024 18:30:39,Female,20,Computer Science,Year 2,3.1,7,Yes,5,5,8,Your welcome!!ğŸ’—
3/2/2024 18:30:44,Male,20,Computer Science,Year 2,3.26,7,Yes,3,5.5,5,
3/2/2024 18:34:28,Male,19,Computer Science,Year 2,2,6,Depends,3,6,4,
3/2/2024 18:35:33,Male,19,Computer Science,Year 2,2.7,6,Depends,3,4.5,6,
3/2/2024 18:36:31,Female,19,Arts & Design,Year 2,3.6,6,Yes,2,3,5,ÙƒÙ„ Ø§Ù„ØªÙˆÙÙŠÙ‚ â™¥ï¸
3/2/2024 18:38:24,Female,19,Arts & Design,Year 2,2.5,5,Yes,14,4,5,
3/2/2024 18:39:25,Male,20,Computer Science,Year 2,3.8,7,Yes,4,3.5,2,
3/2/2024 18:44:18,Male,19,Engineering,Year 2,3.2,6,Yes,5,6,4,
3/2/2024 18:44:55,Male,20,Computer Science,Year 2,2,7,Yes,3,5,4,You're welcome
3/2/2024 18:48:02,Male,19,Engineering,Year 2,3.85,6,Depends,3,6,5,â˜ğŸ½ğŸ¥¶ğŸ˜ğŸ’¯ğŸ¤™
3/2/2024 18:48:10,Male,19,Engineering,Year 1,2.7,5,Yes,4,2.5,3,
3/2/2024 18:49:03,Female,19,Computer Science,Year 2,3.04,11,Yes,5,4,8,ğŸ˜˜ğŸ˜˜
3/2/2024 18:50:16,Female,19,Arts & Design,Year 2,3.4,7,Yes,3,5,4,
3/2/2024 18:51:53,Male,22,Engineering,Year 4,3.2,4,Depends,2,0,6,You are Welcome
3/2/2024 19:00:58,Male,20,Engineering,Year 2,2.4,5,Yes,2,1.5,4.5,no need
3/2/2024 19:01:40,Male,19,Computer Science,Year 2,2.24,5.5,Yes,3,4.5,5,ğŸ‘ğŸ¼
3/2/2024 19:06:39,Male,20,Computer Science,Year 2,3.01,10,No,4,10,9,ğŸ«¡â¤ï¸
3/2/2024 19:09:36,Male,20,Computer Science,Year 2,2.58,7,Yes,3,4.5,5,
3/2/2024 19:10:56,Male,20,Engineering,Year 2,3.2,7,Depends,3,6,8,Any time ya 7obbi
3/2/2024 19:13:08,Female,19,Language appliquer ,Year 1,0,6.5,Depends,0,5,4,Thank you 
3/2/2024 19:14:29,Male,19,Computer Science,Year 2,2.8,7,Depends,3,6,5,
3/2/2024 19:21:31,Female,19,Computer Science,Year 2,3.7,7,Yes,3,4,4,
3/2/2024 19:26:45,Male,20,Engineering,Year 2,3.2,9,Yes,3,4.5,7,Merci beaucoup
3/2/2024 19:29:22,Male,19,Computer Science,Year 2,2.4,7,Yes,3,5,4,<3
3/2/2024 20:00:32,Male,19,Engineering,Year 1,2.7,7,Depends,1,7,6,It's nothingğŸ« 
3/2/2024 20:09:32,Male,19,Engineering,Year 2,2.3,6,Depends,3,6,8,
3/2/2024 20:31:59,Female,22,Arts & Design,Year 2,3.09,5.5,Yes,5,3.5,3.5,
3/2/2024 20:34:12,Female,19,Arts & Design,Year 2,2.7,4.5,Yes,3,2.5,9,
3/2/2024 20:43:14,Male,19,Computer Science,Year 2,2.5,6.5,Yes,4,2,1,
3/2/2024 20:57:21,Female,20,Language appliquer ,Year 2,3,7,Yes,1,5,10,
3/2/2024 21:17:47,Male,21,Computer Science,Year 4,2.9,8,Depends,1,8,6,
3/2/2024 22:14:06,Male,18,Engineering,Year 1,3.2,5,Depends,4,5,6.5,You're welcome!
3/2/2024 22:19:45,Female,19,Computer Science,Year 2,2.4,5,Yes,3,4,3,
3/2/2024 22:45:34,Male,20,Computer Science,Year 2,2.5,7,Yes,4,3,8,
3/3/2024 0:01:38,Female,19,Arts & Design,Year 2,3.3,4.5,Depends,3,1,6,
3/4/2024 9:23:06,Male,20,Computer Science,Year 2,3.86,7,Depends,3,7,2,You're welcome 
3/4/2024 10:15:37,Female,20,Computer Science,Year 3,2.8,7,Depends,4,5,5,
3/5/2024 0:53:49,Male,23,Medicine ,Year 5,3.3,9,Yes,2,4,5,Thanks 